"","Row.names","cls","dgr","burts","btw"
"219","Franklyn-Flowers",0.000327332242225859,3,0.362964891975309,794
"220","Franklyn-Fowler",0.000286861732644865,1,1,0
"221","Frenken",0.000307787011388119,1,1,0
"222","Frenya",0.000374391613627855,2,0.648258149678604,0
"223","Fulk",0.000387897595034911,2,0.563047176909135,0
"224","Galazza-Galare",0.000365230094959825,6,0.290113340649707,24.2521312878948
"225","Galbart-Glover",0.000434216239687364,8,0.157874299492988,298.668712722231
"226","Galyeon-of-Cuy",0.000406008932196508,1,1,0
"227","Gared",0.000341180484476288,3,0.558641975308642,322.228089275179
"228","Garin-(orphan)",0.000350140056022409,9,0.25957198245077,251.992233072585
"229","Gariss",0.000266880170803309,2,0.5,794
"230","Garlan-Tyrell",0.000422654268808115,7,0.182565944737275,795.087249077511
"231","Garrett-Paege",0.000391696043869957,1,1,0
"232","Garth-(Wolfs-Den)",0.00033311125916056,2,0.60565886134068,0
"233","Garth-Greyfeather",0.000388349514563107,3,0.623720802982114,0
"234","Garth-Tyrell",0.000393236335037357,1,1,0
"235","Gawen-Westerling",0.000315756236185665,2,0.5,0.833333333333333
"236","Gelmarr",0.000266737796745799,1,1,0
"237","Gendel",0.000387897595034911,2,0.816905201600493,0
"238","Gendry",0.000429922613929493,20,0.0997638828607784,3934.63710516106
"239","Genna-Lannister",0.000395726157499011,3,0.407038614511891,0
"240","Gerald-Gower",0.000262329485834208,1,1,0
"241","Gerold-Dayne",0.000355492356914326,5,0.306499026885012,2.88298371831002
"242","Gerold-Grafton",0.000255297421496043,1,1,0
"243","Gerold-Hightower",0.000430477830391735,8,0.188225456115179,2649.82367921125
"244","Gerrick-Kingsblood",0.000388048117966628,2,0.5,794
"245","Gerris-Drinkwater",0.000368731563421829,9,0.238749136688167,838.582808210353
"246","Ghael",0.000348796651552145,2,0.701340672629845,0
"247","Gilly",0.000399680255795364,14,0.123584123460941,355.164773883535
"248","Gilwood-Hunter",0.000346020761245675,5,0.394648979591837,86.9215483951437
"249","Godric-Borrell",0.000328083989501312,1,1,0
"250","Godry-Farring",0.000418935902806871,7,0.219372793045413,318.921137939471
"251","Goghor-the-Giant",0.000286697247706422,4,0.48677944214876,0.333333333333333
"252","Gormon-Tyrell",0.000189322226429383,1,1,0
"253","Gormond-Goodbrother",0.0002999400119976,1,1,0
"254","Gorne",0.000387897595034911,2,0.816905201600493,0
"255","Gorold-Goodbrother",0.000315556958030925,2,0.555711805555556,0
"256","Grazdan-mo-Eraz",0.000276319425255595,1,1,0
"257","Grazhar",0.000351741118536757,3,0.378942942545957,11.875450913855
"258","Greenbeard",0.000383288616328095,7,0.255246628545286,1.80654761904762
"259","Gregor-Clegane",0.000477783086478739,33,0.0665369454299617,1731.4274122002
"260","Grenn",0.000398406374501992,15,0.145651926545883,149.816470272302
"261","Gretchel",0.000382409177820268,4,0.40889375,3.79542449320868
"262","Grey-Worm",0.000370782350760104,8,0.203368536686608,10.2904461378891
"263","Greydon-Goodbrother",0.0002999400119976,1,1,0
"264","Grigg",0.000388048117966628,3,0.462441969323895,0.333333333333333
"265","Grimtongue",0.000328407224958949,4,0.428472395833333,401.220843776107
"266","Grisel",0.000360880548538434,1,1,0
"267","Groleo",0.000365096750638919,6,0.282684138414613,11.2821261209148
"268","Grunt",0.000374531835205993,3,0.526785021936537,0
"269","Guncer-Sunglass",0.000345901072293324,2,0.537592803789745,0
"270","Gunthor-son-of-Gurn",0.000406008932196508,1,1,0
"271","Guyard-Morrigen",0.000358680057388809,2,0.623331024930748,0
"272","Gyles-Grafton",0.000320102432778489,2,0.720069444444444,0
"273","Gyles-Rosby",0.000426985482493595,18,0.105274866379545,131.119297462914
"274","Gynir",0.000292740046838407,2,0.5,25.4380952380952
"275","Hagen",0.000328623069339468,6,0.370636805555556,410.220843776107
"276","Haggo",0.000349772647778944,6,0.331247694443109,0.983333333333333
"277","Haggon",0.000297973778307509,1,1,0
"278","Hairy-Hal",0.000388349514563107,3,0.623720802982114,0
"279","Hake",0.000387747188832881,1,1,0
"280","Halder",0.000392772977219167,8,0.264330326704049,13.9273119854002
"281","Haldon",0.000410677618069815,11,0.208431308839772,90.0568770554905
"282","Hali",0.00037147102526003,1,1,0
"283","Hallis-Mollen",0.000410004100041,6,0.21122233798136,37.2499970073499
"284","Hallyne",0.000411692054343351,2,0.511414044004292,0
"285","Halys-Hornwood",0.000361532899493854,1,1,0
"286","Hareth-(Moles-Town)",0.000389559797428905,11,0.215355973871005,695.437836750658
"287","Harl",0.000289855072463768,1,1,0
"288","Harma",0.000390930414386239,8,0.250959666085075,12.3285714285714
"289","Harra",0.000379362670713202,2,0.818487811791383,0
"290","Harras-Harlaw",0.000314861460957179,1,1,0
"291","Harren-Hoare",0.000394944707740916,3,0.421379405671734,24.197605112279
"292","Harrold-Hardyng",0.000320615581917281,3,0.439350907029478,2.66698412698413
"293","Harry-Strickland",0.000327225130890052,3,0.523584104938272,1.68571428571429
"294","Harwin",0.000412541254125413,11,0.154426112479231,113.026386717701
"295","Harwood-Stout",0.000374251497005988,1,1,0
"296","Harys-Swyft",0.000434971726837756,9,0.181262015853274,26.1693480557136
"297","Hayhead",0.000371609067261241,2,0.649969993141289,0
"298","Helman-Tallhart",0.00037243947858473,4,0.279117860161816,42.9352782432448
"299","Hero",0.000349283967865875,4,0.383486925916074,0
"300","Heward",0.000360620266858997,2,0.66500141723356,0
"301","High-Septon-(fat_one)",0.000421052631578947,3,0.349620272373401,0
"302","High-Septon-(Tyrions)",0.000418760469011725,4,0.276986250954115,0
"303","High-Sparrow",0.000396825396825397,8,0.193398301950359,11.8895186796721
"304","Hizdahr-zo-Loraq",0.000370644922164566,22,0.1172545530199,1871.06907133141
"305","Hobb",0.000398883127243718,11,0.15467055793873,27.4538146030744
"306","Hobber-Redwyne",0.000292568753657109,1,1,0
"307","Hodor",0.000396196513470681,11,0.173960120620272,67.3788879349076
"308","Holly",0.000378787878787879,4,0.428575521215381,2.75917466403957
"309","Hop-Robin",0.000388349514563107,3,0.481874911853926,0
"310","Horas-Redwyne",0.00038109756097561,2,0.5,794
"311","Horton-Redfort",0.000296296296296296,4,0.452392378826531,0.583333333333333
"312","Hosteen-Frey",0.000336021505376344,4,0.389947676374471,305.715995962831
"313","Hoster-Blackwood",0.000391696043869957,1,1,0
"314","Hoster-Tully",0.00043271311120727,10,0.154094908448743,109.690380823458
"315","Hot-Pie",0.000384911470361817,11,0.18022195777607,959.533210247283
"316","Hother-Umber",0.000347826086956522,4,0.26312213420896,13.5592584254302
"317","Hotho-Harlaw",0.000315656565656566,4,0.426057227933086,186.659613607101
"318","Howland-Reed",0.000403225806451613,2,0.516147403659916,0
"319","Hugh",0.000348310693138279,1,1,0
"320","Hugh-Hungerford",0.000226090888537192,1,1,0
"321","Hugo-Vance",0.000391696043869957,1,1,0
"322","Hullen",0.000396510705789056,6,0.206822644453266,14.660618039665
"323","Humfrey-Hewett",0.000315357931251971,2,0.561208189513478,0
"324","Husband",0.000309693403530505,2,0.593086419753087,0
"325","Hyle-Hunt",0.000410340582683627,7,0.193942132895779,90.2340030760735
"326","Illifer",0.00034965034965035,2,0.705679012345679,0
"327","Illyrio-Mopatis",0.0004359197907585,12,0.132776910892844,379.530779622759
"328","Ilyn-Payne",0.000459981600735971,22,0.0942873851905399,282.570178632536
"329","Imry-Florent",0.000328083989501312,1,1,0
"330","Irri",0.00035778175313059,15,0.151893391969449,313.366437937645
"331","Jacelyn-Bywater",0.000425531914893617,9,0.153051218327835,4.78807354844669
"332","Jack-Be-Lucky",0.000309597523219814,1,1,0
"333","Jack-Bulwer",0.000392003136025088,5,0.349161451386751,48.359113478442
"334","Jacks",0.000394011032308905,1,1,0
"335","Jaehaerys-I-Targaryen",0.000305064063453325,1,1,0
"336","Jafer-Flowers",0.000299222022740874,1,1,0
"337","Jaime-Lannister",0.000568504832291075,101,0.0256768742226929,31825.987271838
"338","Jalabhar-Xho",0.000394632991318074,5,0.288123355757359,254.650776431735
"339","Janos-Slynt",0.00048030739673391,23,0.0775037073165309,2266.96839997497
"340","Jaqen-Hghar",0.000383141762452107,6,0.261689381771227,8.87751831501832
"341","Jared-Frey",0.000276243093922652,3,0.482253086419753,1.91666666666667
"342","Jaremy-Rykker",0.000392464678178964,5,0.24341075991287,794.9
"343","Jarl",0.00039032006245121,8,0.231775320584346,6.52222222222222
"344","Jarman-Buckwell",0.000391849529780564,3,0.406699774514413,0
"345","Jason-Mallister",0.000394944707740916,3,0.392253565962657,20.5375969455381
"346","Jeor-Mormont",0.000467071461933676,28,0.0787113214299775,5450.11686835152
"347","Jeyne-Farman",0.000309885342423303,1,1,0
"348","Jeyne-Heddle",0.000349406009783368,1,1,0
"349","Jeyne-Poole",0.000438788942518649,13,0.125295419998913,545.036983761949
"350","Jeyne-Westerling",0.000394944707740916,5,0.243671354026166,320.410028621493
"351","Jhiqui",0.000356252226576416,12,0.175057802386652,22.6681058627467
"352","Jhogo",0.000371609067261241,12,0.179648916833928,52.2018623866147
"353","Joanna-Lannister",0.000366703337000367,1,1,0
"354","Jocelyn-Swyft",0.000394788787998421,5,0.288550160143493,0.578571428571429
"355","Joffrey-Baratheon",0.00054585152838428,69,0.0403351574806487,10023.529107584
"356","Jojen-Reed",0.000385059684251059,10,0.171621373445537,85.7207164998739
"357","Jommo",0.000313577924114142,2,0.718820861678005,0
"358","Jon-Arryn",0.000481463649494463,17,0.0831032262048368,2781.11514705564
"359","Jon-Connington",0.000440722785368003,16,0.124217998665311,4005.09963497382
"360","Jon-Fossoway",0.000315556958030925,1,1,0
"361","Jon-Snow",0.000560224089635854,114,0.0244600045357789,60635.833766422
"362","Jon-Umber-(Greatjon)",0.000422297297297297,14,0.130115686484826,429.540626381461
"363","Jon-Umber-(Smalljon)",0.000387296669248644,2,0.543792206436994,0
"364","Jonos-Bracken",0.000392003136025088,2,0.61497500245074,0
"365","Jonothor-Darry",0.000256476019492177,2,0.835069444444444,0
"366","Jonquil",0.000292226767971946,1,1,0
"367","Jorah-Mormont",0.000446827524575514,26,0.0976164105627038,3417.09346746885
"368","Joramun",0.000343642611683849,2,0.537592803789745,0
"369","Jory-Cassel",0.000505050505050505,21,0.0905975920864616,1539.60163042687
"370","Joseth",0.000371609067261241,2,0.532588794794182,0
"371","Josmyn-Peckledon",0.000391849529780564,2,0.64560000245074,0
"372","Joss",0.000394011032308905,1,1,0
"373","Joy-Hill",0.000391696043869957,1,1,0
"374","Justin-Massey",0.000394011032308905,5,0.380410145914259,15.1595238095238
"375","Jyck",0.000406173842404549,2,0.816615157215802,0
"376","Karyl-Vance",0.000393081761006289,4,0.360606613917889,6.6060108951669
"377","Kasporio",0.00040766408479413,3,0.570996962702697,0
"378","Kedry",0.000288766965059197,2,0.637008310249307,0
"379","Kegs",0.000389256520046711,7,0.255789623379476,3.11458764665286
"380","Kella",0.000380228136882129,1,1,0
"381","Kerwin",0.000314861460957179,1,1,0
"382","Kevan-Lannister",0.000456204379562044,17,0.0948005085965424,597.556448481845
"383","Khorane-Sathmantes",0.000389559797428905,3,0.451726838135196,0
"384","Khrazz",0.000352609308885755,5,0.373660997515035,235.948347693917
"385","Kindly-Man",0.000379362670713202,2,0.818487811791383,0
"386","Kojja-Mo",0.000328407224958949,2,0.548482564513409,0
"387","Koss",0.000379939209726444,2,0.534537194507433,0
"388","Kraznys-mo-Nakloz",0.000348796651552145,2,0.573302478185401,0
"389","Kurleket",0.000406008932196508,1,1,0
"390","Kurz",0.000255754475703325,1,1,0
"391","Kyra",0.000374251497005988,1,1,0
"392","Lambert-Turnberry",0.000301750150875075,3,0.520246913580247,0.333333333333333
"393","Lamprey",0.000337381916329285,4,0.456816811435318,0.333333333333333
"394","Lancel-Lannister",0.000443655723158829,12,0.129271190286206,164.196334198442
"395","Lanna-(Happy-Port)",0.000309597523219814,1,1,0
"396","Lark",0.000396196513470681,6,0.251121756752985,817.11986898761
"397","Larraq",0.000351000351000351,1,1,0
"398","Leaf",0.000371747211895911,2,0.556865654298314,0
"399","Leathers",0.000388953714507974,5,0.32095283151332,7.16666666666667
"400","Lem",0.000410509031198686,15,0.147512539949785,1872.43731711053
"401","Lemore",0.000408496732026144,7,0.337587328041841,0.642857142857143
"402","Leo-Lefford",0.000406008932196508,1,1,0
